14:05:52,238 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
14:05:52,796 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
14:05:53,692 (main) INFO  [DataNucleus.Enhancer] - Writing class file "/home/jan.hoelscher/devel/mec/src/web/target/mhive-1.0-SNAPSHOT/WEB-INF/classes/de/wkd/pinstanz3/model/Message.class" with enhanced definition
14:05:53,706 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=777 ms, enhance=117 ms, total=894 ms. Consult the log for full details
14:34:03,514 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
14:34:04,078 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
14:34:04,872 (main) INFO  [DataNucleus.Enhancer] - Class "de.wkd.pinstanz3.model.Message" is already enhanced.
14:34:04,881 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=764 ms, enhance=29 ms, total=793 ms. Consult the log for full details
14:34:45,311 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
14:34:45,618 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
14:34:46,033 (main) INFO  [DataNucleus.Enhancer] - Class "de.wkd.pinstanz3.model.Message" is already enhanced.
14:34:46,033 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=389 ms, enhance=24 ms, total=413 ms. Consult the log for full details
14:39:59,292 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
14:39:59,524 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
14:39:59,698 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=173 ms, enhance=0 ms, total=173 ms. Consult the log for full details
14:39:59,698 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
14:41:10,134 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
14:41:10,362 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
14:41:10,527 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=163 ms, enhance=0 ms, total=163 ms. Consult the log for full details
14:41:10,528 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
14:44:27,767 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
14:44:28,002 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
14:44:28,185 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=181 ms, enhance=0 ms, total=181 ms. Consult the log for full details
14:44:28,185 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
14:45:35,444 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
14:45:35,673 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
